pok1img-2329.0	99
pok1img-3560.0	66
pok1img-5633.0	53
pok1img-2067.0	52
pok1img-2330.0	51
pok1img-3937.0	32
pok1img-2066.0	31
pok1img-3392.0	29
pok1img-2037.0	24
pok1img-3393.0	24
pok1img-3388.0	22
pok1img-2327.0	21
pok1img-7223.0	20
pok1img-8160.0	20
pok1img-7924.0	19
pok1img-8098.0	16
pok1img-3794.0	15
pok1img-700.0	15
pok1img-5665.0	14
pok1img-7839.0	14
pok1img-7986.0	14
pok1img-8161.0	14
pok1img-2168.0	13
pok1img-8159.0	13
pok1img-1443.0	12
pok1img-8162.0	11
pok1img-8195.0	11
pok1img-2405.0	10
pok1img-2467.0	10
pok1img-7383.0	10
pok1img-8132.0	10
pok1img-4204.0	9
pok1img-5058.0	9
pok1img-6861.0	9
pok1img-8134.0	9
pok1img-8165.0	9
pok1img-2433.0	8
pok1img-5833.0	8
pok1img-7830.0	8
pok1img-7831.0	8
pok1img-7909.0	8
pok1img-7075.0	7
pok1img-7989.0	7
pok1img-7993.0	7
pok1img-8094.0	7
pok1img-1369.0	6
pok1img-1450.0	6
pok1img-3417.0	6
pok1img-3737.0	6
pok1img-508.0	6
pok1img-5679.0	6
pok1img-5887.0	6
pok1img-6633.0	6
pok1img-6914.0	6
pok1img-7119.0	6
pok1img-7815.0	6
pok1img-8140.0	6
pok1img-8187.0	6
pok1img-1776.0	5
pok1img-5893.0	5
pok1img-6194.0	5
pok1img-6208.0	5
pok1img-7357.0	5
pok1img-8036.0	5
pok1img-2134.0	4
pok1img-7679.0	4
pok1img-7782.0	4
pok1img-7825.0	4
pok1img-7926.0	4
pok1img-7952.0	4
pok1img-7990.0	4
pok1img-8014.0	4
pok1img-8085.0	4
pok1img-8099.0	4
pok1img-8100.0	4
pok1img-8105.0	4
pok1img-8128.0	4
pok1img-1371.0	3
pok1img-1449.0	3
pok1img-2011.0	3
pok1img-2204.0	3
pok1img-2230.0	3
pok1img-2364.0	3
pok1img-2406.0	3
pok1img-2688.0	3
pok1img-2701.0	3
pok1img-2714.0	3
pok1img-2859.0	3
